NSE/EXCELINFO,Excel Infoways Limited
NSE/RKFORGE,Ramkrishna Forgings Limited
NSE/SHYAMCENT,Shyam Century Ferrous Limited
NSE/SOMICONVEY,Somi Conveyor Beltings Limited
NSE/SOMATEX,Soma Textiles & Industries Limited
NSE/SUJANATWR,Sujana Tower Limited
NSE/SUNFLAG,Sunflag Iron And Steel Company Limited
NSE/THERMAX,Thermax Limited
NSE/TIJARIA,Tijaria Polypipes Limited
NSE/TIMETECHNO,Time Technoplast Limited
NSE/TRIVENI,Triveni Engineering & Industries Limited
NSE/TVTODAY,TV Today Network Limited
NSE/UNIPLY,Uniply Industries Limited
NSE/V2RETAIL,V2 Retail Limited
NSE/VASCONEQ,Vascon Engineers Limited
NSE/VENUSREM,Venus Remedies Limited
NSE/VINATIORGA,Vinati Organics Limited
NSE/VISASTEEL,Visa Steel Limited
NSE/VIVIDHA,Visagar Polytex Limited
NSE/VMART,V-Mart Retail Limited
NSE/VTL,Vardhman Textiles Limited
NSE/ZUARI,Zuari Agro Chemicals Limited
NSE/CALSOFT,California Software Company Limited
NSE/CREATIVEYE,Creative Eye Limited
NSE/CYBERMEDIA,Cyber Media (India) Limited
NSE/FARMAXIND,Farmax India Limited
NSE/FELDVR,Future Enterprises Limited
NSE/IGOLD,ICICI Prudential Gold ETF
NSE/PARAPRINT,Paramount Printpackaging Limited
NSE/NOESISIND,Noesis Industries Limited
NSE/SURYAJYOTI,Suryajyoti Spinning Mills Limited
NSE/SAMTEL,Samtel Color Limited
NSE/SURANACORP,Surana Corporation Limited
NSE/JCTEL,JCT Electronics Limited
NSE/TATAMTRDVR,Tata Motors Limited
NSE/ASHOKLEY,Ashok Leyland Limited
NSE/BALMLAWRIE,Balmer Lawrie & Company Limited
NSE/CEREBRAINT,Cerebra Integrated Technologies Limited
NSE/CPSEETF,Goldman Sachs Mutual Fund - CPSE ETF - Growth Option
NSE/IVZINGOLD,Invesco India Gold Exchange Traded Fund
NSE/INDIGO,InterGlobe Aviation Limited
NSE/ALPHAGEO,Alphageo (India) Limited
NSE/DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
NSE/INDOCO,Indoco Remedies Limited
NSE/MANAKSTEEL,Manaksia Steels Limited
NSE/DCW,DCW Limited
NSE/GTL,GTL Limited
NSE/GULFOILLUB,Gulf Oil Lubricants India Limited
NSE/NAVNETEDUL,Navneet Education Limited
NSE/VISHNU,Vishnu Chemicals Limited
NSE/ADANITRANS,Adani Transmission Limited
NSE/ALBERTDAVD,Albert David Limited
NSE/ABFRL,Aditya Birla Fashion and Retail Limited
NSE/ADVENZYMES,Advanced Enzyme Technologies Limited
NSE/ALSTOMTD,Alstom T&D India Limited
NSE/INOXWIND,Inox Wind Limited
NSE/ESSDEE,Ess Dee Aluminium Limited
NSE/CNX_CONSUMPTION,National Stock Exchange of India (NSE) Stock Index - CNX Consumption
NSE/NIFTY_SHARIAH_25,National Stock Exchange of India (NSE) Stock Index - Nifty Shariah 25
NSE/CHEMFALKAL,Chemfab Alkalis Limited
NSE/DABUR,Dabur India Limited
NSE/FCEL,Future Consumer Enterprise Limited
NSE/RAMASTEEL,Rama Steel Tubes Limited
NSE/RTNPOWER,RattanIndia Power Limited
NSE/RUPA,Rupa & Company Limited
NSE/SHEMAROO,Shemaroo Entertainment Limited
NSE/SITASHREE,Sita Shree Food Products Limited
NSE/SMPL,Sujana Metal Products Limited
NSE/SKIPPER,Skipper Limited
NSE/SUDARSCHEM,Sudarshan Chemical Industries Limited
NSE/TATAMOTORS,Tata Motors Limited
NSE/TATASPONGE,Tata Sponge Iron Limited
NSE/TDPOWERSYS,TD Power Systems Limited
NSE/THANGAMAYL,Thangamayil Jewellery Limited
NSE/THEMISMED,Themis Medicare Limited
NSE/TRF,TRF Limited
NSE/TORNTPHARM,Torrent Pharmaceuticals Limited
NSE/TRITURBINE,Triveni Turbine Limited
NSE/TTKPRESTIG,TTK Prestige Limited
NSE/TULSI,Tulsi Extrusions Limited
NSE/UBL,United Breweries Limited
NSE/UNIENTER,Uniphos Enterprises Limited
NSE/UNITY,Unity Infraprojects Limited
NSE/VARDHACRLC,Vardhman Acrylics Limited
NSE/VAIBHAVGBL,Vaibhav Global Limited
NSE/VIDHIDYE,Vidhi Dyestuffs Manufacturing Limited
NSE/VOLTAS,Voltas Limited
NSE/VLSFINANCE,VLS Finance Limited
NSE/ADHUNIK,Adhunik Metaliks Limited
NSE/ACC,ACC Limited
NSE/8KMILES,8K Miles Software Services Limited
NSE/ARROWGREEN,Arrow Greentech Limited
NSE/ALKYLAMINE,Alkyl Amines Chemicals Limited
NSE/ALLCARGO,Allcargo Logistics Limited
NSE/ALOKTEXT,Alok Industries Limited
NSE/AMBUJACEM,Ambuja Cements Limited
NSE/ANSALAPI,Ansal Properties & Infrastructure Limited
NSE/ASTRAL,Astral Poly Technik Limited
NSE/ASIANTILES,Asian Granito India Limited
NSE/ASTRAZEN,AstraZeneca Pharma India Limited
NSE/AXISGOLD,Axis Mutual Fund - Axis Gold ETF
NSE/BAJAJFINSV,Bajaj Finserv Limited
NSE/BAJFINANCE,Bajaj Finance Limited
NSE/BALRAMCHIN,Balrampur Chini Mills Limited
NSE/BAYERCROP,Bayer Cropscience Limited
NSE/BASF,BASF India Limited
NSE/BBTC,Bombay Burmah Trading Corporation Limited
NSE/BEPL,Bhansali Engineering Polymers Limited
NSE/BHARATFIN,Bharat Financial Inclusion Limited
NSE/BHARATRAS,Bharat Rasayan Limited
NSE/BIOCON,Biocon Limited
NSE/BLKASHYAP,B. L. Kashyap and Sons Limited
NSE/BIL,Bhartiya International Limited
NSE/BINANIIND,Binani Industries Limited
NSE/CINELINE,Cineline India Limited
NSE/BLUESTARCO,Blue Star Limited
NSE/CANTABIL,Cantabil Retail India Limited
NSE/BUTTERFLY,Butterfly Gandhimathi Appliances Limited
NSE/CANFINHOME,Can Fin Homes Limited
NSE/CAPF,Capital First Limited
NSE/CARBORUNIV,Carborundum Universal Limited
NSE/CASTROLIND,Castrol India Limited
NSE/CEBBCO,Commercial Engineers & Body Builders Co Limited
NSE/CONCOR,Container Corporation of India Limited
NSE/CERA,Cera Sanitaryware Limited
NSE/CENTURYTEX,Century Textiles & Industries Limited
NSE/CGCL,Capri Global Capital Limited
NSE/CIGNITITEC,Cigniti Technologies Limited
NSE/CHOLAFIN,Cholamandalam Investment and Finance Company Limited
NSE/COALINDIA,Coal India Limited
NSE/DALMIABHA,Dalmia Bharat Limited
NSE/CUPID,Cupid Limited
NSE/DAAWAT,LT Foods Limited
NSE/DENABANK,Dena Bank
NSE/DISHTV,Dish TV India Limited
NSE/DIVISLAB,Divi's Laboratories Limited
NSE/DSKULKARNI,DS Kulkarni Developers Limited
NSE/EDL,Empee Distilleries Limited
NSE/ELECON,Elecon Engineering Company Limited
NSE/FCONSUMER,FUTURE CONSUMER LIMITED
NSE/ELECTCAST,Electrosteel Castings Limited
NSE/EQUITAS,Equitas Holdings Limited
NSE/EMMBI,Emmbi Industries Limited
NSE/EMAMILTD,Emami Limited
NSE/FAGBEARING,FAG Bearings India Limited
NSE/FMNL,Future Market Networks Limited
NSE/FEDERALBNK,The Federal Bank Limited
NSE/FLEXITUFF,Flexituff International Limited
NSE/FRETAIL,Future Retail Limited
NSE/FORTIS,Fortis Healthcare Limited
NSE/GAEL,Gujarat Ambuja Exports Limited
NSE/GANESHHOUC,Ganesh Housing Corporation Limited
NSE/GARWALLROP,Garware Wall Ropes Limited
NSE/GETD,GE T&D India Limited
NSE/GIPCL,Gujarat Industries Power Company Limited
NSE/GLOBALVECT,Global Vectra Helicorp Limited
NSE/GMRINFRA,GMR Infrastructure Limited
NSE/GOKEX,Gokaldas Exports Limited
NSE/GOKULAGRO,Gokul Agro Resources Limited
NSE/GOLDIAM,Goldiam International Limited
NSE/GREENLAM,Greenlam Industries Limited
NSE/GREENPLY,Greenply Industries Limited
NSE/HFCL,Himachal Futuristic Communications Limited
NSE/HIL,HIL Limited
NSE/HSCL,Himadri Speciality Chemical Limited
NSE/MENONBE,Menon Bearings Limited
NSE/MOLDTECH,Mold-Tek Technologies Limited
NSE/NBVENTURES,Nava Bharat Ventures Limited
NSE/ANANDAMRUB,The Anandam Rubber Company Limited
NSE/NIFTY100_EQUAL_WEIGHT,National Stock Exchange of India (NSE) Stock Index - Nifty 100 Equal Weight
NSE/BILENERGY,Bil Energy Systems Limited
NSE/GATI,GATI Limited
NSE/OPTOCIRCUI,Opto Circuits (India) Limited
NSE/ORIENTCEM,Orient Cement Limited
NSE/ANDHRABANK,Andhra Bank
NSE/EICHERMOT,Eicher Motors Limited
NSE/FCL,Fineotex Chemical Limited
NSE/VRLLOG,VRL Logistics Limited
NSE/KTKBANK,The Karnataka Bank Limited
NSE/LSIL,Lloyds Steels Industries Limited
NSE/SINTEX,Sintex Industries Limited
NSE/CNX_AUTO,National Stock Exchange of India (NSE) Stock Index - CNX Auto
NSE/CNX_MEDIA,National Stock Exchange of India (NSE) Stock Index - CNX Media
NSE/CNX_DIVIDEND_OPPT,National Stock Exchange of India (NSE) Stock Index - CNX Dividend Opportunities
NSE/NIFTY_FMCG,National Stock Exchange of India (NSE) Stock Index - Nifty FMCG
NSE/CNX_100,National Stock Exchange of India (NSE) Stock Index - CNX 100
NSE/AVTNPL,AVT Natural Products Limited
NSE/CORPBANK,Corporation Bank
NSE/AARVEEDEN,Aarvee Denims & Exports Limited
NSE/ACE,Action Construction Equipment Limited
NSE/BANSWRAS,Banswara Syntex Limited
NSE/COXKINGS,Cox & Kings Limited
NSE/GRINDWELL,Grindwell Norton Limited
NSE/HINDCOMPOS,Hindustan Composites Limited
NSE/HINDUNILVR,Hindustan Unilever Limited
NSE/MAWANASUG,Mawana Sugars Limited
NSE/MUKTAARTS,Mukta Arts Limited
NSE/NECCLTD,North Eastern Carrying Corporation Limited
NSE/ORIENTBANK,Oriental Bank of Commerce
NSE/PARSVNATH,Parsvnath Developers Limited
NSE/PRAJIND,Praj Industries Limited
NSE/PRISMCEM,Prism Cement Limited
NSE/SCHNEIDER,Schneider Electric Infrastructure Limited
NSE/STERLINBIO,Sterling Biotech Limited
NSE/TARAJEWELS,Tara Jewels Limited
NSE/TATAPOWER,Tata Power Company Limited
NSE/UFO,UFO Moviez India Limited
NSE/UTTAMSUGAR,Uttam Sugar Mills Limited
NSE/VESUVIUS,Vesuvius India Limited
NSE/HERCULES,Hercules Hoists Limited
NSE/NESCO,Nesco Limited
NSE/PVP,PVP Ventures Limited
NSE/AHLUCONT,Ahluwalia Contracts (India) Limited
NSE/AARTIIND,Aarti Industries Limited
NSE/ABIRLANUVO,Aditya Birla Nuvo Limited
NSE/AARTIDRUGS,Aarti Drugs Limited
NSE/ADANIPOWER,Adani Power Limited
NSE/ADI,Adi Finechem Limited
NSE/ALEMBICLTD,Alembic Limited
NSE/ALICON,Alicon Castalloy Limited
NSE/AMARAJABAT,Amara Raja Batteries Limited
NSE/ALPSINDUS,Alps Industries Limited
NSE/ALMONDZ,Almondz Global Securities Limited
NSE/ARCOTECH,Arcotech Limited
NSE/ARROWTEX,Arrow Textiles Limited
NSE/ATFL,Agro Tech Foods Limited
NSE/DCMSHRIRAM,DCM Shriram Limited
NSE/BAJAJ_AUTO,Bajaj Auto Limited
NSE/BALLARPUR,Ballarpur Industries Limited
NSE/BHUSANSTL,Bhushan Steel Limited
NSE/BYKE,The Byke Hospitality Ltd
NSE/CARERATING,Credit Analysis And Research Limited
NSE/DATAMATICS,Datamatics Global Services Limited
NSE/CESC,CESC Limited
NSE/CIMMCO,Cimmco Limited
NSE/COMPUSOFT,Compucom Software Limited
NSE/DCM,DCM Limited
NSE/COUNCODOS,Country Condo's Limited
NSE/DHFL,Dewan Housing Finance Corporation Limited
NSE/DIAPOWER,Diamond Power Infra Ltd
NSE/DECCANCE,Deccan Cements Limited
NSE/DLINKINDIA,D-Link (India) Limited
NSE/DRREDDY,Dr. Reddy's Laboratories Limited
NSE/DPL,Dhunseri Petrochem Limited
NSE/ESABINDIA,Esab India Limited
NSE/ESL,Electrosteel Steels Limited
NSE/GANDHITUBE,Gandhi Special Tubes Limited
NSE/GALLISPAT,Gallantt Ispat Limited
NSE/GARDENSILK,Garden Silk Mills Limited
NSE/GEOJITBNPP,Geojit BNP Paribas Financial Services Limited
NSE/GPPL,Gujarat Pipavav Port Limited
NSE/GPTINFRA,GPT Infraprojects Limited
NSE/GOLDTECH,Goldstone Technologies Limited
NSE/GREENPOWER,Orient Green Power Company Limited
NSE/GRPLTD,GRP Limited
NSE/HESTERBIO,Hester Biosciences Limited
NSE/HMVL,Hindustan Media Ventures Limited
NSE/IFBAGRO,IFB Agro Industries Limited
NSE/IDEA,Idea Cellular Limited
NSE/IMPAL,India Motor Parts and Accessories Limited
NSE/JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
NSE/JAMNAAUTO,Jamna Auto Industries Limited
NSE/JAYNECOIND,Jayaswal Neco Industries Limited
NSE/JAYSREETEA,Jayshree Tea & Industries Limited
NSE/JETAIRWAYS,Jet Airways (India) Limited
NSE/JMFINANCIL,JM Financial Limited
NSE/JKIL,J.Kumar Infraprojects Limited
NSE/JSLHISAR,Jindal Stainless (Hisar) Limited
NSE/MELSTAR,Melstar Information Technologies Limited
NSE/KAJARIACER,Kajaria Ceramics Limited
NSE/KAKATCEM,Kakatiya Cement Sugar & Industries Limited
NSE/KCP,KCP Limited
NSE/KILITCH,Kilitch Drugs (India) Limited
NSE/KOTHARIPRO,Kothari Products Limited
NSE/KSCL,Kaveri Seed Company Limited
NSE/LYPSAGEMS,Lypsa Gems & Jewellery Limited
NSE/LT,Larsen & Toubro Limited
NSE/MANINFRA,Man Infraconstruction Limited
NSE/MAHINDCIE,Mahindra CIE Automotive Limited
NSE/MANUGRAPH,Manugraph India Limited
NSE/MBECL,Mcnally Bharat Engineering Company Limited
NSE/MERCATOR,Mercator Limited
NSE/MUKANDENGG,Mukand Engineers Limited
NSE/MOLDTKPAC,Mold-Tek Packaging Limited
NSE/NATHBIOGEN,Nath Bio-Genes (India) Limited
NSE/NUCLEUS,Nucleus Software Exports Limited
NSE/OFSS,Oracle Financial Services Software Limited
NSE/ORIENTBELL,Orient Bell Limited
NSE/ORIENTPPR,Orient Paper & Industries Limited
NSE/PAPERPROD,Huhtamaki PPL Limited
NSE/PCJEWELLER,PC Jeweller Limited
NSE/PEL,Piramal Enterprises Limited
NSE/PGEL,PG Electroplast Limited
NSE/POLYPLEX,Polyplex Corporation Limited
NSE/POLYMED,Poly Medicure Limited
NSE/PREMIERPOL,Premier Polyfilm Limited
NSE/RAYMOND,Raymond Limited
NSE/SARDAEN,Sarda Energy & Minerals Limited
NSE/SEINV,S.E. Investments Limited
NSE/SEQUENT,Sequent Scientific Limited
NSE/SGJHL,SHREE GANESH JEWELLERY HOUSE (I) LIMITED
NSE/SHILPAMED,Shilpa Medicare Limited
NSE/SHREYAS,Shreyas Shipping & Logistics Limited
NSE/SOUTHBANK,The South Indian Bank Limited
NSE/SNOWMAN,Snowman Logistics Limited
NSE/SPIC,Southern Petrochemicals Industries Corporation Limited
NSE/STAR,Strides Shasun Limited
NSE/STINDIA,STI India Limited
NSE/SUNTECK,Sunteck Realty Limited
NSE/SUNPHARMA,Sun Pharmaceuticals Industries Limited
NSE/SURANATP,Surana Telecom and Power Limited
NSE/SUTLEJTEX,Sutlej Textiles and Industries Limited
NSE/SWARAJENG,Swaraj Engines Limited
NSE/TALBROAUTO,Talbros Automotive Components Limited
NSE/TAINWALCHM,Tainwala Chemical and Plastic (I) Limited
NSE/TARMAT,Tarmat Limited
NSE/TCI,Transport Corporation of India Limited
NSE/TEXINFRA,Texmaco Infrastructure & Holdings Limited
NSE/TECHNO,Techno Electric & Engineering Company Limited
NSE/TIIL,Technocraft Industries (India) Limited
NSE/TIPSINDLTD,TIPS Industries Limited
NSE/UNIVCABLES,Universal Cables Limited
NSE/VASWANI,Vaswani Industries Limited
NSE/VEDL,Vedanta Limited
NSE/SKIL,SKIL Infrastructure Limited
NSE/SPHEREGSL,Sphere Global Services Limited
NSE/SUNCLAYLTD,Sundaram Clayton Limited
NSE/VAKRANGEE,VAKRANGEE LIMITED
NSE/CROMPTON,Crompton Greaves Consumer Electricals Limited
NSE/SMARTLINK,Smartlink Network Systems Limited
NSE/TTML,Tata Teleservices (Maharashtra) Limited
NSE/WEIZFOREX,Weizmann Forex Limited
NSE/NIFTY_DIV_OPPS_50,National Stock Exchange of India (NSE) Stock Index - Nifty Dividend Opportunities 50
NSE/NIFTY_LOW_VOLATILITY_50,National Stock Exchange of India (NSE) Stock Index - Nifty Low Volatility 50
NSE/CNX_PHARMA,National Stock Exchange of India (NSE) Stock Index - CNX Pharma
NSE/CNX_FINANCE,National Stock Exchange of India (NSE) Stock Index - CNX Finance
NSE/NIFTY_ENERGY,National Stock Exchange of India (NSE) Stock Index - Nifty Energy
NSE/A2ZINFRA,A2Z INFRA ENGINEERING LIMITED
NSE/ALLSEC,Allsec Technologies Limited
NSE/ARCHIES,Archies Limited
NSE/BEDMUTHA,Bedmutha Industries Limited
NSE/BHARATFORG,Bharat Forge Limited
NSE/CRMFGETF,Canara Robeco Mutual Fund - Canara Robeco - Gold ETF
NSE/FEL,FUTURE ENTERPRISES LIMITED
NSE/ICICIPRULI,ICICI Prudential Life Insurance Company Limited
NSE/KABRAEXTRU,Kabra Extrusion Technik Limited
NSE/MVL,MVL Limited
NSE/ONELIFECAP,Onelife Capital Advisors Limited
NSE/PAGEIND,Page Industries Limited
NSE/PIDILITIND,Pidilite Industries Limited
NSE/PIONEEREMB,Pioneer Embroideries Limited
NSE/PREMIER,Premier Limited
NSE/SUNDRMFAST,Sundram Fasteners Limited
NSE/WELINV,Welspun Investments and Commercials Limited
NSE/ADANIENT,Adani Enterprises Limited
NSE/APLLTD,Alembic Pharmaceuticals Limited
NSE/AROGRANITE,Aro Granite Industries Limited
NSE/BANARISUG,Bannari Amman Sugars Limited
NSE/BATAINDIA,Bata India Limited
NSE/CAPLIPOINT,Caplin Point Laboratories Limited
NSE/CELEBRITY,Celebrity Fashions Limited
NSE/DALMIASUG,Dalmia Bharat Sugar and Industries Limited
NSE/EKC,Everest Kanto Cylinder Limited
NSE/ENGINERSIN,Engineers India Limited
NSE/EXCEL,Excel Realty N Infra Limited
NSE/GOLDBEES,Goldman Sachs Gold Exchange Traded Scheme
NSE/GRANULES,Granules India Limited
NSE/GUFICBIO,Gufic Biosciences Limited
NSE/HINDCOPPER,Hindustan Copper Limited
NSE/HONDAPOWER,Honda Siel Power Products Limited
NSE/HUBTOWN,Hubtown Limited
NSE/INFOMEDIA,INFOMEDIA PRESS LIMITED
NSE/INVENTURE,Inventure Growth & Securities Limited
NSE/IZMO,IZMO Limited
NSE/JUBILANT,Jubilant Life Sciences Limited
NSE/KNRCON,KNR Constructions Limited
NSE/KOTAKBANK,Kotak Mahindra Bank Limited
NSE/LGBBROSLTD,LG Balakrishnan & Bros Limited
NSE/MADHUCON,Madhucon Projects Limited
NSE/MAHSCOOTER,Maharashtra Scooters Limited
NSE/MANGCHEFER,Mangalore Chemicals & Fertilizers Limited
NSE/MUTHOOTFIN,Muthoot Finance Limited
NSE/NEULANDLAB,Neuland Laboratories Limited
NSE/NFL,National Fertilizers Limited
NSE/NIITTECH,NIIT Technologies Limited
NSE/NUTEK,Nu Tek India Limited
NSE/ORISSAMINE,The Orissa Minerals Development Company Limited
NSE/PERSISTENT,Persistent Systems Limited
NSE/POWERGRID,Power Grid Corporation of India Limited
NSE/PRIMESECU,Prime Securities Limited
NSE/RAMANEWS,Shree Rama Newsprint Limited
NSE/RAMKY,Ramky Infrastructure Limited
NSE/RELGOLD,R* Shares Gold ETF
NSE/REMSONSIND,Remsons Industries Limited
NSE/RPOWER,Reliance Power Limited
NSE/RSSOFTWARE,R. S. Software (India) Limited
NSE/SHREECEM,Shree Cements Limited
NSE/SMLISUZU,SML Isuzu Limited
NSE/SQSBFSI,SQS India BFSI Limited
NSE/SSWL,Steel Strips Wheels Limited
NSE/TATACHEM,Tata Chemicals Limited
NSE/TATACOFFEE,Tata Coffee Limited
NSE/TNPL,Tamil Nadu Newsprint & Papers Limited
NSE/TTL,T T Limited
NSE/UCOBANK,UCO Bank
NSE/UNITEDBNK,United Bank of India
NSE/VENKEYS,Venky's (India) Limited
NSE/VICEROY,Viceroy Hotels Limited
NSE/WELCORP,Welspun Corp Limited
NSE/XCHANGING,Xchanging Solutions Limited
NSE/ASHIANA,Ashiana Housing Limited
NSE/BIRLAMONEY,Aditya Birla Money Limited
NSE/EON,Eon Electric Limited
NSE/GOLDSHARE,UTI Mutual Fund - UTI Gold Exchange Traded Fund
NSE/HITECHGEAR,The Hi-Tech Gears Limited
NSE/IDFCBANK,IDFC Bank Limited
NSE/IGARASHI,Igarashi Motors India Limited
NSE/JINDALPHOT,Jindal Photo Limited
NSE/LICHSGFIN,LIC Housing Finance Limited
NSE/OUDHSUG,The Oudh Sugar Mills Limited
NSE/PDUMJEPULP,Pudumjee Pulp & Paper Mills Limited
NSE/PETRONET,Petronet LNG Limited
NSE/PLASTIBLEN,Plastiblends India Limited
NSE/RAMCOIND,Ramco Industries Limited
NSE/SDBL,Som Distilleries & Breweries Limited
NSE/SUPREMEINF,Supreme Infrastructure India Limited
NSE/BALAJITELE,Balaji Telefilms Limited
NSE/HSIL,HSIL Limited
NSE/INDUSINDBK,IndusInd Bank Limited
NSE/KALINDEE,Kalindee Rail Nirman (Engineers) Limited
NSE/LAKPRE,Lakshmi Precision Screws Limited
NSE/MARICO,Marico Limited
NSE/MORARJEE,Morarjee Textiles Limited
NSE/SKFINDIA,SKF India Limited
NSE/EMAMIINFRA,Emami Infrastructure Limited
NSE/AIAENG,AIA Engineering Limited
NSE/ANANTRAJ,Anant Raj Limited
NSE/BSL,BSL Limited
NSE/CNOVAPETRO,CIL Nova Petrochemicals Limited
NSE/ESSELPACK,Essel Propack Limited
NSE/GMBREW,GM Breweries Limited
NSE/GPIL,Godawari Power And Ispat limited
NSE/HEG,HEG Limited
NSE/HINDOILEXP,Hindustan Oil Exploration Company Limited
NSE/HOTELEELA,Hotel Leela Venture Limited
NSE/ICICIBANK,ICICI Bank Limited
NSE/IDFC,IDFC Limited
NSE/JKPAPER,JK Paper Limited
NSE/KOTAKNIFTY,Kotak Mahindra Mutual Fund-Kotak Nifty ETF
NSE/KWALITY,kwality limited
NSE/LINCPEN,Linc Pen & Plastics Limited
NSE/MRPL,Mangalore Refinery and Petrochemicals Limited
NSE/OCCL,Oriental Carbon & Chemicals Limited
NSE/PNBGILTS,PNB Gilts Limited
NSE/RELCAPITAL,Reliance Capital Limited
NSE/SYMPHONY,Symphony Limited
NSE/TCS,Tata Consultancy Services Limited
NSE/ZODJRDMKJ,Zodiac JRD- MKJ Limited
NSE/CEATLTD,CEAT Limited
NSE/BANKINDIA,Bank of India
NSE/ELECTHERM,Electrotherm (India) Limited
NSE/APLAPOLLO,APL Apollo Tubes Limited
NSE/CENTEXT,Century Extrusions Limited
NSE/GAMMONIND,Gammon India Limited
NSE/ANDHRSUGAR,The Andhra Sugars Limited
NSE/AHLEAST,Asian Hotels (East) Limited
NSE/BEML,BEML Limited
NSE/ABAN,Aban Offshore Limited
NSE/CANBK,Canara Bank
NSE/AKZOINDIA,Akzo Nobel India Limited
NSE/ARMANFIN,Arman Financial Services Limited
